Species,groups_new,groups_old,functional_name,Diet,TrophicLevel,MaxSizeTL,ReefPosition,FeedingType,Solitary,Schooling,Shoaling,Cluster,PC1,PC2
Aulostomus chinensis,group5,group5,GenPred_solitary,Piscivoro,4.2,110,reef-associated,hunting macrofauna (predator),1,0,0,6,-2.26735424964035,-0.44948223875023496
Azurina atrilobata,group1,group1,Plank,Zooplanctivoro,3.4,75,reef-associated,selective plankton feeding,0,0,1,4,2.766733870910531,5.0783172097344895
Balistes polylepis,group4,group4,Crip_schooling,Carnivoro,3.34,85,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.581769126928519,-0.17761547142976772
Bodianus diplotaenia,group3,group3,Crip_solitary,Carnivoro,3.4,90,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.7131150274968873,-0.7537680239997401
Bothus mancus,group5,group5,GenPred_solitary,Piscivoro,4.12,50,reef-associated,hunting macrofauna (predator),1,0,0,6,-1.6973116106429644,-0.28794432505317774
Calamus brachysomus,group3,group3,Crip_solitary,Carnivoro,3.3,50,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.3049501688881918,-0.6620548971738215
Calotomus carolinus,group2,group2,EpiBent_schooling,Herbivoro,2,45,reef-associated,browsing on substrate,0,1,0,7,2.269484404614995,-1.212366271029061
Cantherhines dumerilii,group3,group3,Crip_solitary,Carnivoro,3.1,55,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.2278495205774618,-0.7462797163822482
Canthigaster punctatissima,group3,group3,Crip_solitary,Carnivoro,3,70,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.29800935361425257,-0.827752577877677
Caranx caballus,group6,group6,Pelagic,Piscivoro,3.4,70,pelagic-neritic,hunting macrofauna (predator),0,1,0,5,-2.874679029945935,0.6003493388016066
Caranx lugubris,group6,group6,Pelagic,Piscivoro,4.5,75,benthopelagic,hunting macrofauna (predator),0,1,0,3,-2.6032708605643404,0.6081412419371587
